round,loss,accuracy,precision,recall,f1
1,1.0772145986557007,0.7290779948234558,0.7290779948234558,1.0,0.843314179008908
2,0.33039018511772156,0.8517730236053467,0.8310428261756897,1.0,0.907726257731943
3,0.07453103363513947,0.9744681119918823,0.975095808506012,0.9902724027633667,0.9826255087234511
4,0.06905398517847061,0.9780141711235046,0.9853943586349487,0.9844357967376709,0.9849148444578488
5,0.08330412954092026,0.9758865237236023,0.9920791983604431,0.9747081995010376,0.9833169871311576
6,0.08056794852018356,0.9765957593917847,0.9911155104637146,0.9766536951065063,0.9838314603477673
7,0.07464125007390976,0.9794326424598694,0.989226222038269,0.9824903011322021,0.9858467557146098
8,0.06957722455263138,0.9794326424598694,0.9854227304458618,0.9863813519477844,0.985901808172865
9,0.17409861087799072,0.9695035219192505,0.9989868402481079,0.9591439962387085,0.9786600693797936
10,0.125448539853096,0.9730496406555176,0.9959920048713684,0.966926097869873,0.9812438546824248
11,0.07426022738218307,0.9794326424598694,0.9901864528656006,0.981517493724823,0.9858329159583549
12,0.09374559670686722,0.9773049354553223,0.9930692911148071,0.975680947303772,0.9842983307740196
13,0.09410365670919418,0.9780141711235046,0.9930761456489563,0.9766536951065063,0.9847964600040702
14,0.16649678349494934,0.9730496406555176,0.9979879260063171,0.9649805426597595,0.981206724181251
15,0.12141069769859314,0.9765957593917847,0.9960119724273682,0.9717898964881897,0.9837518572127394
16,0.1088494285941124,0.978723406791687,0.9970119595527649,0.9737353920936584,0.9852362156378089
17,0.12754729390144348,0.9773049354553223,0.9950298070907593,0.9737353920936584,0.9842674380406291
18,0.15406173467636108,0.9716312289237976,0.9969819188117981,0.9640077948570251,0.9802176261985225
19,0.11176427453756332,0.980141818523407,0.9970179200172424,0.975680947303772,0.9862340418964328
20,0.07109128683805466,0.980141818523407,0.9826254844665527,0.9902724027633667,0.9864341239530257
21,0.7918093204498291,0.8404255509376526,0.9987577795982361,0.7821011543273926,0.8772504070216997
22,0.09159605205059052,0.9794326424598694,0.9752616286277771,0.9970816969871521,0.9860509649104442
23,1.0759707689285278,0.8432624340057373,1.0,0.7850194573402405,0.8795640340077355
24,0.09085288643836975,0.9822695255279541,0.9911851286888123,0.9844357967376709,0.9877989338108089
25,0.08709314465522766,0.9836879372596741,0.9950739145278931,0.9824903011322021,0.988742071879549
