round,loss,accuracy,precision,recall,f1
1,0.5513259172439575,0.7290779948234558,0.7290779948234558,1.0,0.843314179008908
2,0.16537904739379883,0.9460992813110352,0.9311594367027283,1.0,0.9643527292522204
3,0.12651661038398743,0.9666666388511658,0.9562790989875793,1.0,0.9776509900683152
4,0.07890867441892624,0.978723406791687,0.9725378751754761,0.9990272521972656,0.9856046118943502
5,0.07402434945106506,0.978723406791687,0.9725378751754761,0.9990272521972656,0.9856046118943502
6,0.04402290657162666,0.9893617033958435,0.9893719553947449,0.9961089491844177,0.9927290225434635
7,0.04637075588107109,0.9879432916641235,0.9874638319015503,0.9961089491844177,0.9917675512915214
8,0.0398840457201004,0.9900709390640259,0.990328848361969,0.9961089491844177,0.9932104893567095
9,0.036033883690834045,0.9872340559959412,0.9912451505661011,0.9912451505661011,0.9912451505661011
10,0.041320089250802994,0.9893617033958435,0.9884281754493713,0.9970816969871521,0.9927360787358477
11,0.04018431529402733,0.9872340559959412,0.9902912378311157,0.9922178983688354,0.9912536319073599
12,0.05877726152539253,0.9865248203277588,0.9837008714675903,0.9980545043945312,0.9908257070506982
13,0.05432483181357384,0.9858155846595764,0.9836851954460144,0.9970816969871521,0.9903381440020149
14,0.0489705465734005,0.9843971729278564,0.9931372404098511,0.9854085445404053,0.9892577973632797
15,0.40916895866394043,0.8758864998817444,0.9988304376602173,0.8307393193244934,0.907063220448029
16,0.06275992840528488,0.9794326424598694,0.9940652847290039,0.9776264429092407,0.9857773349723997
17,0.03961348533630371,0.9879432916641235,0.9931707382202148,0.9902724027633667,0.9917194528741372
18,0.050186168402433395,0.9829787015914917,0.9931237697601318,0.9834630489349365,0.9882698005877317
19,0.06164925917983055,0.9865248203277588,0.9902818202972412,0.9912451505661011,0.9907632512675087
20,0.06220955401659012,0.9815602898597717,0.9980119466781616,0.9766536951065063,0.9872173140185257
21,0.04439731314778328,0.9872340559959412,0.9922027587890625,0.9902724027633667,0.9912366409726654
22,0.1680048257112503,0.9723404049873352,0.966069757938385,0.9970816969871521,0.9813307793816739
23,0.0888611450791359,0.9709219932556152,0.995979905128479,0.9640077948570251,0.9797330790105624
24,0.060201678425073624,0.9851064085960388,0.9931439757347107,0.9863813519477844,0.9897511123142618
25,0.05261493846774101,0.9851064085960388,0.9941118955612183,0.9854085445404053,0.9897410870533805
