round,loss,accuracy,precision,recall,f1
1,0.639348030090332,0.6855725049972534,0.6855725049972534,1.0,0.8134595254309402
2,0.47152456641197205,0.6926621794700623,0.6929475665092468,0.9906928539276123,0.8154926597795887
3,0.4911074638366699,0.708968460559845,0.7051234841346741,0.9891417026519775,0.8233268901660953
4,0.23559369146823883,0.9078341126441956,0.9185000061988831,0.9498448967933655,0.9339095176650082
5,0.3776179254055023,0.8514711260795593,0.988394558429718,0.792657732963562,0.8797704522707056
6,0.4381372630596161,0.805742621421814,0.9873417615890503,0.7259565591812134,0.8367103606998938
7,1.3941994905471802,0.425381064414978,0.9785932898521423,0.16546018421649933,0.2830605905790916
8,1.1778128147125244,0.45551222562789917,0.9806763529777527,0.20992761850357056,0.3458262465683637
9,1.891358494758606,0.3920595645904541,0.9866666793823242,0.1147880032658577,0.20565076312164
10,2.268131971359253,0.3853243589401245,0.9854369163513184,0.10496380925178528,0.18971963258802302
11,1.6596189737319946,0.42715349793434143,0.9789156913757324,0.1680455058813095,0.28684908079853844
12,1.47542405128479,0.4388514757156372,0.9861496090888977,0.18407446146011353,0.3102396588492284
13,2.009739398956299,0.41013824939727783,0.9856114983558655,0.14167527854442596,0.24773959284808883
14,2.1248934268951416,0.4023396074771881,0.984375,0.1302998960018158,0.23013698538803098
15,2.2845990657806396,0.4041120111942291,0.984674334526062,0.13288521766662598,0.23416857386705975
16,2.176671028137207,0.42573556303977966,0.9786585569381714,0.16597725450992584,0.2838196372307178
17,2.5369839668273926,0.4090747833251953,0.9890109896659851,0.1396070271730423,0.24467602332885618
18,2.59027361869812,0.3878057301044464,0.9905213117599487,0.10806618630886078,0.19487179820945547
19,2.126002073287964,0.42892590165138245,0.9908814430236816,0.16856256127357483,0.28811311859042715
20,2.242288827896118,0.4267989993095398,0.9876922965049744,0.16597725450992584,0.2841965544297909
