round,loss,accuracy,precision,recall,f1
1,0.7670356035232544,0.4122651517391205,0.5728200078010559,0.3402203917503357,0.4268924957806015
2,0.7304316163063049,0.6784828305244446,0.7042285203933716,0.8625344634056091,0.7753838649922513
3,0.9346756935119629,0.5200283527374268,0.6976844072341919,0.44820937514305115,0.545790014786099
4,1.1929330825805664,0.4386742413043976,0.6469841003417969,0.2807162404060364,0.39154657225635003
5,1.085270643234253,0.4719957411289215,0.6777716875076294,0.34187328815460205,0.45449551747329714
6,1.3568495512008667,0.43672457337379456,0.7220039367675781,0.20247933268547058,0.31626505344866374
7,1.205998182296753,0.4668557345867157,0.8417582511901855,0.21101927757263184,0.33744492678466537
8,1.1754400730133057,0.46632400155067444,0.8213914632797241,0.21790634095668793,0.3444371912011272
9,1.234666347503662,0.4599432945251465,0.7716681957244873,0.22809916734695435,0.3521156609316207
10,0.9300736784934998,0.5430698394775391,0.7988636493682861,0.38732782006263733,0.5217068640453921
11,1.1545827388763428,0.4712867736816406,0.8663646578788757,0.21074379980564117,0.33902060412970264
12,1.0211023092269897,0.5152428150177002,0.8738512992858887,0.288154274225235,0.43339548908642717
13,0.9008253216743469,0.5457284450531006,0.847557008266449,0.35840219259262085,0.5037754011803189
14,1.0758335590362549,0.49680963158607483,0.8791946172714233,0.25261709094047546,0.39246737769927714
15,0.740121603012085,0.6182205080986023,0.8784615397453308,0.4719008207321167,0.6139784901007598
16,0.9108920693397522,0.5737327337265015,0.8510028719902039,0.40909090638160706,0.5525581384675318
17,0.6836134791374207,0.6635944843292236,0.8599334955215454,0.5699724555015564,0.685553347980343
18,0.7205718755722046,0.6588089466094971,0.9209876656532288,0.5137740969657898,0.6595932768292833
19,1.0705411434173584,0.5544133186340332,0.9182908535003662,0.3374655544757843,0.49355357468727773
20,1.0164066553115845,0.5343849658966064,0.8958168625831604,0.3126721680164337,0.46354909887859846
