round,loss,accuracy,precision,recall,f1
1,0.6619451642036438,0.6433888673782349,0.6433888673782349,1.0,0.7830025870926816
2,0.6254988312721252,0.6433888673782349,0.6433888673782349,1.0,0.7830025870926816
3,0.36898526549339294,0.9207727909088135,0.9614381194114685,0.9134986400604248,0.9368555074166967
4,1.1140449047088623,0.4388514757156372,0.9496123790740967,0.13498622179031372,0.23637240010149765
5,1.0373345613479614,0.4549804925918579,0.9512194991111755,0.16115702688694,0.2756183770708247
6,0.5080890655517578,0.7222616076469421,0.9644304513931274,0.5900826454162598,0.7321825377298006
7,1.070702075958252,0.47997164726257324,0.9496123790740967,0.20247933268547058,0.3337874560891068
8,1.544472336769104,0.4301666021347046,0.968397319316864,0.11818181723356247,0.2106555356185346
9,0.9723064303398132,0.5065579414367676,0.965859055519104,0.24159780144691467,0.38651389153124194
10,1.01032292842865,0.5334987640380859,0.959484338760376,0.28705233335494995,0.44189990462344925
11,1.2288049459457397,0.47412264347076416,0.9783549904823303,0.18677686154842377,0.31367106526876465
12,1.1703803539276123,0.47749024629592896,0.9802817106246948,0.19173553586006165,0.320737326424468
13,0.8757699728012085,0.49184685945510864,0.9872286319732666,0.21294765174388885,0.35032856717002625
14,1.3548468351364136,0.48440268635749817,0.9813084006309509,0.20247933268547058,0.3356930715302337
15,0.3686743378639221,0.8317972421646118,0.9830630421638489,0.7515151500701904,0.8518344955192905
16,1.8108144998550415,0.43743354082107544,0.9789915680885315,0.12837465107440948,0.22698489223042057
17,1.3666350841522217,0.47571784257888794,0.9786324501037598,0.1892561912536621,0.31717450377564643
18,1.463201642036438,0.5058490037918091,0.9906759858131409,0.23415978252887726,0.37878788224579346
19,1.3054370880126953,0.5866714119911194,0.9828869104385376,0.36391183733940125,0.5311620345128372
20,1.1464790105819702,0.6004962921142578,0.9921315908432007,0.3820936679840088,0.5517104219021687
